,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
1,[ 511.93878 1219.9116 ],[ 511.8487 1228.0132],,,,,,,,,,,,,,,,,,,,,,,[ 496.61682 1233.9159 ],[ 496.15317 1230.1351 ],[ 498.94244 1231.3956 ],[ 502.3642 1241.7593],[ 493.5476 1231.119 ],[ 492.1   1236.947],[ 506.13855 1234.5542 ],[ 495.55057 1233.     ],[ 501.67337 1230.387  ],[ 499.36697 1243.9082 ],[ 512.06366 1233.591  ],[ 516.16516 1238.9175 ],[ 513.3874 1230.4504],[ 520.08264 1234.8347 ],[ 531.6724 1242.888 ],[ 527.55725 1243.1908 ],[ 529.78394 1229.4877 ],[ 522.46155 1233.93   ],[ 514.96686 1231.2517 ],[ 525.64233 1229.73   ],[ 527.5669 1221.5669],[ 523.71875 1219.4531 ],[ 517.5256 1234.5037],[ 524.8175 1224.438 ],[ 521.6127 1236.324 ],[ 523.1842 1238.0066],[ 523.415  1236.1293],[ 529.24835 1240.268  ],[ 526.37024 1248.943  ],[ 515.50616 1240.8643 ],[ 511.44943 1240.5168 ],[ 510.24023 1242.5475 ],[ 516.642  1243.3636],[ 529.0366 1242.5812],[ 536.6977 1239.4476],[ 528.5585 1238.9026],[ 536.74744 1236.1804 ],[ 541.83734 1240.8253 ],[ 533.4908 1239.7546],[ 524.8503 1238.9462],[ 511.1271 1238.7034],[ 497.37796 1237.9055 ],[ 492.38345 1246.6766 ],[ 497.03253 1244.7968 ],[ 489.41464 1244.2114 ],[ 494.57455 1251.522  ],[ 510.17392 1265.0869 ],[ 524.4663 1265.741 ],[ 516.89746 1269.0085 ],[ 526.05884 1250.9076 ],[ 526.7655 1255.1586],[ 508.55453 1263.991  ],[ 507.4866 1266.2723],[ 498.8284 1258.3136],[ 490.54544 1262.2727 ],[ 496.60947 1257.432  ],[ 493.52875 1258.2241 ],[ 497.74872 1257.9487 ],[ 493.3817 1257.328 ],[ 492.47693 1240.2307 ],[ 496.58646 1238.6616 ],[ 496.85   1237.0143],[ 509.8707 1235.3362],[ 510.0708 1236.6549],[ 511.21738 1235.7043 ],[ 500.00742 1243.1482 ],[ 509.9084 1237.4657],[ 513.4341 1232.3024]
2,[ 516.63495 1363.9603 ],[ 521.6532 1365.0322],,,,,,,,,,,,,[ 518.42 1364.06],[ 518.7311 1363.8656],[ 514.8542 1360.8611],[ 522.5036 1376.5612],[ 522.2708 1368.7709],[ 527.54364 1375.1343 ],[ 520.36194 1355.9877 ],[ 528.0305 1352.0061],[ 521.1795 1362.7565],[ 526.6233 1350.2397],[ 540.03894 1346.6299 ],[ 541.0934 1344.2858],[ 546.4902 1347.2451],[ 537.8917 1345.3121],[ 527.4051 1335.7405],[ 526.3333 1321.4657],[ 539.3681 1337.3988],[ 532.35333 1342.06   ],[ 538.4839 1342.0387],[ 551.1689 1338.5155],[ 557.22156 1326.6647 ],[ 560.3512 1336.5952],[ 563.3182 1333.0227],[ 560.70654 1338.9185 ],[ 554.6991 1340.963 ],[ 559.7767 1354.3198],[ 557.40625 1357.7656 ],[ 555.2778 1362.3334],[ 543.3565 1361.0348],[ 546.58795 1357.6232 ],[ 545.35956 1348.1067 ],[ 542.   1343.21],[ 535.01654 1346.8347 ],[ 548.2153 1349.2222],[ 542.0574 1349.9755],[ 543.8209 1350.9104],[ 544.8264 1348.993 ],[ 549.11365 1351.2727 ],[ 544.8409 1355.5758],[ 545.25806 1354.4193 ],[ 555.20245 1358.1963 ],[ 553.85187 1359.0494 ],[ 562.4259 1360.4259],[ 560.4717 1363.2201],[ 567.5283 1360.7548],[ 561.45   1360.4111],[ 556.14   1352.0734],[ 561.4516 1354.2129],[ 552.43384 1354.2941 ],[ 554.4793 1356.2231],[ 551.1328 1357.0469],[ 549.6982 1360.2793],[ 567.37244 1365.4438 ],[ 572.54706 1363.2882 ],[ 573.709  1361.9153],[ 574.18115 1364.8768 ],[ 580.1469 1359.2769],[ 590.0643 1354.5857],[ 590.4207 1367.6207],[ 587.34595 1356.8918 ],[ 573.     1352.8054],[ 578.1883 1363.0195],[ 575.4966 1363.8207],[ 574.82855 1365.2072 ],[ 578.70966 1361.4839 ],[ 574.4593 1358.8148],[ 571.8943 1360.7723],[ 573.3684 1365.579 ],[ 568.13043 1364.7971 ],[ 573.2857 1364.8441],[ 578.0552 1364.069 ],[ 577.8442 1364.5195],[ 586.73016 1357.6428 ],[ 586.9007 1360.4397],[ 587.3038 1360.1519],[ 591.2516 1362.2139],[ 586.6646 1360.9878],[ 588.858  1357.4674]
3,[573.1761  637.21124],[576.7445 644.365 ],,,,,,,,,,,,,,,,[563.65283 627.0622 ],[554.31494 640.9134 ],[556.7755 644.0612],[539.82465 651.3442 ],[546.9091 650.2308],[536.2256 662.218 ],[536.5137 652.8767],[537.6667  658.28986],[535.96204 655.62024],[537.01843 656.4785 ],[526.3041 646.3919],[517.12   631.4667],[515.1799 637.3165],[527.6209 632.1177],[516.80884 644.3897 ],[512.3866 656.8505],[504.46915 668.28394],[505.991  658.9459],[508.28055 661.3665 ],[506.49753 657.79803],[503.77585 665.3405 ],[510.0198  686.91583],[504.88095 680.9464 ],[514.05634 702.9014 ],[505.52026 711.82434],[497.12677 709.3028 ],[503.67392 708.07245],[522.80725 713.6265 ],[520.41986 724.49725],[518.1932 717.6023],[529.87354 717.04596],[522.8125 718.    ],[522.2111 718.4   ],[521.95746 716.71277],[526.5543 718.5326],[519.53845 723.0192 ],[516.24243 718.0707 ],[512.29474 719.71576],[513.4545 719.2222],,,,[506.47702 727.6724 ],[518.5409  741.39624],[521.7808 744.3767],[514.14844 739.6328 ],[518.48254 745.3287 ],[533.9772 743.3943],[533.7784 740.8466],[534.379  758.5726],[544.0648  754.62036],[541.9072  752.59796],[546.41046 762.2239 ],[546.91815 750.15454],[544.8    753.4286],[547.37964 758.7963 ],[551.     748.9897],[545.7586 744.1322],[554.1222 753.1556],[554.1818 769.342 ],[560.9261 773.7734],[564.5455 783.7273],[559.35077 779.86566],[559.36   778.9267],[565.6057 779.8686],[566.72046 777.3656 ],[575.9355 776.6022],[581.25   774.9423],[580.6161 777.1786],[578.66406 776.7031 ],,[578.1071 774.6964],[581.5714 775.9107],[585.2727  770.95044],[586.6015 767.    ]
4,[761.7879  305.45456],,,,,,,,,,,,,,,,,,,,,,,[755.1667  315.06522],[755.68097 321.31903],[752.3358  321.29105],[756.5474 321.0803],[760.0395  331.51974],[753.37683 322.23187],[749.112 321.544],[755.6992  317.37595],[757.0238  322.96033],[760.2083  321.02084],,,[752.5263 330.0451],[749.0696  329.82608],[749.483  330.0408],,[751.7619  341.31747],,,,,,[749.75806 329.53226],[745.  324.5],,[749.1389  326.55554],[751.0932  325.75424],[754.11865 323.89832],[755.01495 325.14926],,[752.51697 322.45764],[748.7387  323.46848],[746.4065  322.52844],,[750.17114 326.3063 ],[757.9725 323.3945],[751.2456 321.8684],[759.5135  318.24326],[765.2185 322.479 ],[757.3577  321.43903],[760.24615 321.94617],[758.84375 321.67188],[758.9365 318.7143],,[758.83594 324.33594],[753.9098 322.9925],,[758.6357  321.16278],[755.78296 323.6589 ],[755.813  338.5935],,,[760.807   320.66666],[760.4649  322.33334],[762.144 321.648],[764.41986 319.07632],[759.9708 318.0438],[756.52484 318.9078 ],[760.3806 319.7985],[753.82947 319.71317],[758.8372 319.2093],[762.3858  317.92126],[761.8067  319.26892],[760.88525 319.5    ],[760.8425  320.96063],[761.35657 319.969  ],[763.      322.74637],[758.88635 322.12878],[761.13635 316.03787]
5,[774.86584 310.     ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,[911.0702 750.193 ],[910.03064 755.6888 ],,,,,,,[919.2162 771.2613],[917.5625 770.6518],[918.35645 773.802  ],[926.9802  772.20795],[922.95 773.2 ],[901.9826 774.6957],[895.76154 778.46924],[898.0229 775.9771],[893.82117 782.7616 ],,[908.9125 779.8875],[915.77295 783.314  ],[917.908   781.95404],[924.89624 778.4623 ],,[912.87286 779.322  ],[919.2857  780.47253],[918.0182 774.8909],[917.1429  774.10205],,[925.1667  763.23956],,[925.1488 764.756 ],[916.3719 762.9752],[921.0328  759.23773],,[924.5664 760.1748],[925.9771  769.58777],[920.5078 765.0156],[923.3043 767.1987],[908.9624 778.3008],[904.5412  771.47644],[908.7228 781.5248],[901.09656 791.7655 ],[896.2941 788.8941],[899.04144 790.4793 ],[898.12976 778.7939 ],[906.2662 791.2518],[899.14087 789.14087],[909.4223 785.7052],[911.0522 777.6609],[912.96  777.472],[912.63446 775.4552 ],[916.24286 777.6071 ],[920.2174 791.6957],[924.7714 784.4786],[924.78143 783.8874 ],[918.52875 782.3908 ],[922.58826 783.79736],[922.6299 788.513 ],[929.63635 785.483  ],[924.43115 787.91016],[932.0328 782.9016],[936.88763 786.57306],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,[  51.805195 1213.1559  ],,,,,,,,,,,,,,,[  58.264153 1201.434   ],,,,[  55.17293 1190.5264 ],[  62.923077 1183.4701  ],[  55.107914 1196.2086  ],[  53.869564 1185.5435  ],,[  48.412846 1181.4587  ],[  53.349594 1181.5853  ],[  55.367817 1189.6322  ],[  44.682926 1179.8292  ],[  51.348484 1181.5     ],[  47.333332 1182.9425  ],[  55.592594 1180.4814  ],,,[  47.     1182.3438],[  51.65116 1186.5116 ],[  49.46154 1180.3206 ],[  47.295963 1191.0269  ],,[  42.6    1195.6434],,,[  44.305557 1195.1666  ],,,,,,,,,,,,,,,,,[  36.679363 1200.5492  ],[  49.008747 1196.0466  ],[  35.018867 1197.6368  ],[  29.786364 1199.9409  ],[  32.972973 1199.776   ],[  35.117645 1201.7646  ],[  37.995514 1197.9373  ],[  31.076576 1202.6666  ],[  26.639175 1196.1289  ],[  24.318386 1195.8386  ],[  36.38 1200.24],[  44.609867 1186.2108  ],[  44.35965 1168.7192 ],[  49.64626 1172.7755 ],[  56.43299 1164.0309 ],,[  63.505493 1160.3956  ],[  63.28 1162.5 ],[  64.860214 1159.5269  ],[  60.913334 1159.8066  ],[  56.041668 1158.1528  ],[  61.8    1155.3789],[  66.89524 1156.3334 ],,,[  70.7807 1149.228 ],[  72.51305 1148.6174 ],[  85.37342 1144.9873 ],[  88.97436 1149.0769 ],[  90.94768 1149.9476 ],[  95.85058 1150.7164 ],[  93.36842 1141.8422 ],[  96.061226 1136.6428  ]
8,,[540.1842 741.5132],,,,,,,,,,,,,,,,,[541.33124 735.0764 ],[546.54614 732.04614],[538.27155 732.1854 ],[549.4737 727.7018],[548.88324 738.56854],[554.125 732.62 ],[561.48303 737.96185],[560.2567 740.7861],[564.3263 744.0895],[569.52484 754.25964],[560.04346 744.91846],[562.8684 739.3509],[562.60785 732.10455],[552.25836 731.11664],[559.2241  730.65515],[567.7079 739.9888],[562.02985 747.0249 ],[564.60333 747.5978 ],[562.88   741.5372],[559.7337 746.8043],[565.4101 765.6517],[558.9213  768.93256],,,,,,[543.8333  771.62823],,[558.6281 773.2727],[552.4113 779.2742],[551.5    778.4789],[546.7236 777.0569],[550.9636 777.3182],[554.0969 790.949 ],[549.9734 788.0159],[547.95776 790.0493 ],[547.4126  791.44055],[553.7152 791.9801],[556.2727 801.6409],[561.8515  801.94556],[563.87177 801.91284],[571.2169 801.291 ],[571.64624 809.81134],[561.9071  809.00885],[568.0457 803.0863],[570.8062 801.8605],[571.80505 800.44653],[561.08215 807.62317],[553.9231  801.64105],[561.3868  801.00946],[553.8461 805.8671],,[552.96 789.66],[550.1  802.38],,,,,,,,,,,,,,,,,,,
9,,[ 691.22754 1166.7485 ],,,,,,,,,,,,,,,,,,,,,,,[ 705.83075 1161.4539 ],[ 702.1829 1158.2012],[ 701.09467 1159.9705 ],[ 705.5875 1168.775 ],[ 698.69104 1157.573  ],[ 697.47955 1163.6433 ],[ 713.2442 1160.4941],[ 703.17816 1160.7241 ],[ 707.68713 1159.324  ],[ 713.9171 1176.627 ],[ 702.2079 1159.3651],[ 703.85944 1164.9946 ],[ 701.7968 1160.8556],[ 702.57294 1163.5885 ],[ 695.51184 1165.7244 ],[ 713.30994 1160.2164 ],[ 720.65717 1141.8214 ],[ 715.79926 1147.7527 ],[ 708.1882 1146.5156],[ 714.1686 1141.1744],[ 714.98285 1132.4972 ],[ 714.5787 1145.0955],[ 708.39655 1140.615  ],[ 707.19446 1142.0764 ],[ 698.7534 1144.3356],[ 698.8811 1144.951 ],[ 699.76117 1142.306  ],[ 693.53015 1146.5431 ],[ 699.9274 1150.0726],[ 698.50946 1144.7548 ],[ 694.82855 1145.4429 ],[ 691.7132 1141.1085],[ 697.46295 1143.4073 ],[ 700.0719 1151.098 ],[ 695.71643 1153.3358 ],[ 687.78723 1149.9788 ],[ 693.9493 1147.616 ],[ 696.2273 1152.7858],[ 687.2585 1150.4218],[ 691.50323 1152.7549 ],[ 693.19904 1149.7867 ],[ 691.7658 1148.8164],[ 687.76636 1144.7664 ],[ 678.1776 1137.2698],[ 672.0719 1136.719 ],[ 671.4607 1134.9176],[ 672.57574 1147.8636 ],[ 671.7427 1138.3896],[ 685.92615 1143.1193 ],[ 678.4759 1132.538 ],[ 667.01733 1138.6532 ],[ 673.3802 1147.4271],[ 670.6119 1150.0502],[ 671.89813 1149.0741 ],[ 676.4162 1146.9421],[ 673.09247 1145.7225 ],[ 668.73834 1147.6395 ],[ 672.17645 1149.1635 ],[ 666.1111 1149.0197],[ 670.7284 1149.3643],[ 672.73914 1140.2695 ],[ 674.32556 1148.2151 ],[ 671.8393 1149.2798],[ 672.2138 1149.566 ],[ 673.6    1148.3125],[ 675.4331 1151.4458],[ 664.9386 1140.3596],[ 656.3761 1129.6367]
10,,,[  16.571428 1205.9286  ],[  17.24812 1205.6692 ],,,[  22.459597 1209.1869  ],[  20.58209 1215.1268 ],[  26.088495 1213.1416  ],[  25.934525 1216.0238  ],[  26.647058 1219.6544  ],[  33.50633 1217.6962 ],[  27.684565 1214.0806  ],[  25.522293 1209.4777  ],[  19.475525 1213.6364  ],[  19.51634 1212.9347 ],[   9.941559 1218.9026  ],[  11.443439 1223.8778  ],[  20.56 1209.  ],[  19.560976 1203.4008  ],[   9.240964 1207.6345  ],[  13.879154 1205.3173  ],[   7.357143 1213.3     ],[   9.185054 1206.7865  ],[  10.412541 1205.0198  ],[  11.026058 1201.2216  ],[  17.50405 1202.7712 ],[  13.812865 1211.1228  ],[   6.3023257 1202.6279   ],[   3.4385965 1207.9736   ],[  15.256983 1204.4749  ],[  11.780876 1211.7131  ],[  17.701754 1205.9122  ],[   7.287234 1220.3777  ],[  11.323354 1205.8323  ],[  12.189024 1208.7805  ],[  10.639456 1202.5918  ],[   7.165563 1208.3973  ],[   7.9180326 1214.0547   ],[  11.707317 1208.061   ],,[   8.158824 1202.6471  ],[   2.5547945 1198.1918   ],,,[   9.4827585 1191.7672   ],,[  18.166666 1199.0344  ],[  10.265896 1198.1965  ],[  11.594118 1198.6235  ],[  11.193182 1194.9034  ],[  16.672413 1195.0919  ],[   9.748663 1199.1498  ],[  10.97561 1194.6586 ],[   9.486033 1195.7988  ],[   7.836364 1194.5515  ],[  17.333334 1198.3219  ],[  17.05988 1199.4312 ],[  24.2   1196.375],[  13.028369 1186.7234  ],,,[  14.648648 1178.8784  ],[  16.876623 1174.617   ],[  14.982558 1174.4128  ],[  14.190476 1170.2916  ],[  25.682243 1167.4392  ],,,[  21.386503 1179.2699  ],[  18.093458 1176.0747  ],[  17.579767 1181.3346  ],[  22.205128 1198.6154  ],,,[  25.086666 1186.6934  ],[  20.485508 1185.2572  ],[  21.919415 1184.8132  ],,[  21.319067 1179.0856  ],[  21.451612 1185.0242  ],[  24.880733 1185.8348  ],[  20.2406 1185.5188],[  20.702423 1182.616   ],[  25.69403 1188.6642 ],[  25.238995 1189.2767  ],[  34.774437 1196.6804  ],[  33.918606 1199.0659  ],[  33.400845 1198.9282  ],[  35.32245 1200.4612 ],[  38.525425 1183.2543  ],[  44.555557 1179.1666  ]
11,,,[308.37314 182.85075],[306.67682 182.56097],[314.675  181.0125],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,[311.73404 175.24467],,[318.9187  172.68292],,[317.9415  172.15425],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,[375.06818 711.5303 ],[374.78378 723.1622 ],[379.60284 717.21277],[390.38583 738.18896],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[392.02533 724.3101 ],[387.1894 725.6667],[403.4563 735.1068],[394.35184 738.7407 ],[394.7686 738.0909],,,,,,,,,,,,,,,,,,,,[374.89923 737.5659 ],,,,,,,,,,,,,,,,,,,,,,
14,,,[ 479.4565 1220.9928],[ 480.1745 1224.047 ],[ 485.68967 1223.0828 ],[ 480.13635 1206.4829 ],[ 479.10303 1222.9515 ],[ 477.7314 1224.4171],[ 476.86264 1220.3901 ],[ 476.0921 1224.7106],[ 475.48865 1230.6875 ],[ 483.33496 1223.2266 ],[ 477.30768 1222.6256 ],[ 477.16217 1222.0631 ],[ 474.92783 1226.2681 ],[ 479.7095 1224.7821],[ 475.9192 1235.6262],[ 478.54956 1254.6216 ],[ 483.12903 1229.7695 ],[ 487.71915 1228.9957 ],[ 474.42615 1228.8102 ],[ 483.08096 1223.1781 ],[ 477.94223 1238.1956 ],[ 482.43146 1226.4678 ],[ 484.87827 1226.8087 ],[ 487.9205 1219.3945],[ 487.45364 1226.1073 ],[ 489.9147 1237.1611],[ 482.26865 1225.1194 ],[ 479.17346 1233.2296 ],[ 492.59778 1232.19   ],[ 481.94287 1230.9572 ],[ 488.96982 1230.0529 ],,[ 493.4179 1229.1095],[ 496.60962 1236.155  ],[ 504.26596 1220.6171 ],[ 502.84525 1225.869  ],,,[ 504.13416 1221.2073 ],[ 498.20526 1214.2737 ],[ 490.0037 1224.6296],[ 500.99594 1222.374  ],[ 501.35248 1215.6322 ],[ 504.37735 1215.1132 ],[ 495.76147 1211.8348 ],[ 498.3125 1210.75  ],[ 492.88495 1209.115  ],[ 496.09564 1210.3478 ],[ 493.5  1208.86],[ 498.22223 1212.2828 ],[ 493.80582 1215.6893 ],[ 496.2143 1212.7858],[ 494.28867 1212.4434 ],[ 486.5631 1210.2913],[ 490.74075 1211.2407 ],[ 490.88776 1212.1224 ],[ 496.88785 1205.6262 ],[ 492.54956 1205.1982 ],[ 500.9661 1197.8474],[ 493.6058 1188.9917],[ 495.16  1198.136],[ 485.19336 1190.3978 ],[ 480.75253 1190.9343 ],[ 479.425 1185.685],[ 471.72  1192.345],[ 461.3718 1180.9423],[ 472.60748 1176.5795 ],[ 479.88678 1173.3585 ],[ 491.8972 1185.3085],[ 491.1075 1191.1451],[ 475.98148 1184.5    ],[ 470.89566 1195.7043 ],[ 461.05927 1188.4741 ],[ 474.20895 1194.2462 ],[ 474.42728 1194.4364 ],[ 478.9913 1200.0609],[ 500.3611 1203.3055],,,,,,[ 497.28262 1209.6863 ],[ 496.44843 1212.4603 ],[ 495.17422 1212.655  ],[ 495.16217 1212.8142 ],[ 496.19254 1212.6677 ],[ 500.93164 1216.2158 ],[ 506.35632 1217.138  ],[ 514.3226 1216.121 ]
15,,,[ 492.5942 1358.6014],[ 491.1111 1358.9207],[ 495.2066 1360.562 ],,,[ 487.38562 1359.1372 ],,[ 485.96924 1363.1077 ],,,,[ 487.71155 1354.4519 ],[ 482.2695 1362.0354],[ 483.36517 1361.4495 ],[ 482.32257 1368.8441 ],[ 488.83334 1391.2715 ],,[ 497.27658 1367.266  ],[ 488.84314 1372.1471 ],[ 496.10242 1371.747  ],[ 491.875  1381.9524],[ 494.26205 1371.6138 ],,[ 491.13013 1389.     ],[ 494.31204 1383.1631 ],,[ 479.30304 1367.0404 ],[ 481.     1375.1724],[ 492.7156 1373.1743],[ 484.11627 1371.6821 ],[ 488.46295 1366.463  ],[ 485.02106 1376.     ],[ 482.08258 1369.3027 ],[ 483.90714 1376.55   ],[ 479.37274 1363.9728 ],[ 475.13394 1369.0714 ],[ 478.62384 1376.3854 ],[ 472.48114 1387.2642 ],[ 482.41284 1377.3578 ],[ 475.28925 1373.9009 ],[ 459.5595 1359.8334],,[ 468.63727 1355.1177 ],[ 463.81866 1367.0725 ],[ 456.83252 1364.3645 ],[ 466.09766 1364.5547 ],[ 455.23358 1366.3942 ],[ 453.97693 1367.5231 ],[ 452.53488 1369.4574 ],[ 458.88437 1368.5238 ],[ 455.1438 1372.7124],[ 457.34073 1369.274  ],[ 450.15494 1371.5211 ],[ 447.92728 1373.9636 ],[ 456.17188 1375.8438 ],,[ 452.66666 1375.3726 ],[ 449.83908 1366.1724 ],,[ 462.7383 1359.9813],[ 452.42593 1359.5927 ],[ 450.64285 1355.8096 ],[ 447.20895 1355.4552 ],[ 445.07947 1347.9602 ],[ 439.01974 1358.2828 ],[ 452.80908 1357.3682 ],[ 447.48624 1356.1926 ],,[ 448.42856 1348.3348 ],[ 447.35327 1354.1522 ],,[ 456.07437 1347.0083 ],[ 449.17126 1342.8397 ],[ 452.3373 1347.4325],[ 437.875  1353.8214],[ 438.03897 1353.4805 ],,,[ 426.60953 1359.6285 ],[ 428.15573 1366.5    ],[ 417.12418 1374.3595 ],[ 419. 1372.],[ 430.17987 1370.     ],[ 429.57895 1367.6692 ],[ 428.16504 1369.6213 ],[ 427.376 1371.896],[ 428.875  1370.0938],[ 432.58463 1372.4    ],[ 427.     1374.3657],[ 428.78625 1369.7328 ]
16,,,[510.80807 730.2121 ],[514.0828 732.8639],[521.9535  728.10077],,,,,,,,,,,,,,,,,,,,,,,,[546.3273  729.41815],[548.05444 733.8571 ],[553.44366 743.5986 ],[545.2466 741.8173],[551.13727 740.60785],[552.56305 757.8319 ],[540.62366 752.9677 ],[543.84045 756.19147],[539.3889 752.1222],[534.84686 763.2162 ],[522.53503 780.66876],[525.62164 788.5608 ],[513.6312 776.575 ],[524.3214 772.4702],[521.61536 772.44507],[535.0301 768.9098],[538.36206 760.88794],[540.3333  760.17114],[534.70337 758.8305 ],[548.0776 758.0172],[542.2712  760.02545],[543.2756  760.01575],[539.4   760.152],[546.7953 760.4173],[541.62616 753.4673 ],[540.14386 762.56116],[537.1884  762.18115],[537.46875 765.97656],[545.24164 762.81665],[542.0469 764.9297],[551.10315 764.1984 ],[546.4898  762.60547],[553.92535 758.2985 ],[558.568 757.56 ],[560.4454 742.2605],[565.55 741.51],[561.9314  742.60785],[563.2478 740.3363],[569.05    744.75836],[576.55554 742.68256],[572.4737 744.5414],[569.00836 757.39166],[563.0645 749.    ],[560.03253 752.8374 ],[560.03937 765.46454],[556.0913  764.04346],[545.3421 757.5833],[538.451  769.3333],[526.86755 762.8543 ],[527.85333 762.96   ],[530.519  761.6266],[523.4276 762.2552],[520.85895 767.64746],[522.3154  768.96643],[516.0387 767.7484],[518.8125 767.3688],[521.7895 765.7544],[522.4303  768.01215],[521.9103  767.29486],[522.43274 767.3041 ],[521.8059  765.68823],[528.47144 780.5571 ],[520.8409 765.0057],[523.9182  760.77356]
17,,,[544.4965 637.8252],[543.24243 643.17426],[545.2941 640.4191],[558.65576 660.59015],[535.0769  666.10986],[537.7453  670.40564],[537.4857 669.1524],[535.79645 678.2832 ],[534.5     691.81885],[544.8357 678.5571],[539.02026 676.17566],[536.5986 677.7042],[532.35486 676.29034],[532.339  675.2542],[525.192 682.528],[529.84827 698.9655 ],,,,,,,,,,[537.3472 680.1528],[527.469  670.4483],[527.0872  673.75836],[539.08453 670.3803 ],[528.8551  670.96375],[538.73785 665.5825 ],[513.8889  670.13074],,[535.4267  671.38666],[534.9662  668.08105],[531.8421 673.9276],[538.3795  681.02563],[534.244  672.4976],[539.28674 660.9044 ],,,[534.66425 668.8175 ],[533.7664 659.2701],[531.8889 667.6746],[521.14056 660.3213 ],[538.95575 668.0885 ],[531.7    670.1308],[531.3252 671.5935],[529.9664 670.    ],[534.2414  670.31036],[529.2605 674.7311],[533.73016 670.4524 ],[531.60333 669.7686 ],[530.73016 668.96826],[538.94354 671.0323 ],[544.5     652.73334],[538.96075 646.77454],[530.13336 644.7867 ],[537.7528 639.7977],[543.96155 644.66345],[550.1803 644.1721],[539.4194 641.1613],[537.3684  642.17896],[536.8046 640.1149],[530.6559  648.74194],[530.1223 650.259 ],[525.7943 649.8511],[524.1337 648.4713],[539.8102 658.9537],[537.35297 662.9559 ],[538.093  663.7442],[545.565  657.7713],[543.9832  658.15125],[540.165 660.08 ],[537.9647 668.    ],,,[534.38794 664.9741 ],[532.91595 666.08405],[536.6754 666.9035],[530.7913  667.34784],[535.4454 666.5966],[523.0847 665.8418],[523.43427 665.9143 ],[521.2804 667.    ],[520.46906 669.19073],[521.6231 668.7538],[539.      668.49194],,
